candidate,setting,value_count,median_logrmse,median_abs_delta_f_mel,median_abs_delta_f_blood,max_abs_delta_f_mel,max_abs_delta_f_blood,median_logrmse_change,boundary_fraction,all_converged,prediction_above_one_count
V2R-PS,diameter_um,4,0.06166191010049343,0.0003082907198065643,6.320668988202272e-11,0.0016705911093558012,0.009397429303866764,7.28583859910259e-17,0.4772727272727273,True,0
V2R-PS,s0,3,0.06298862641914921,0.0005304212212104975,1.8245795846416613e-10,0.00332538620345435,0.021420254601237795,5.447031714567174e-16,0.4621212121212121,True,0
V2R-PS,epidermis_thickness_mm,3,0.06390398398724642,0.004321825325432287,5.597598426443362e-10,0.012080819024086226,0.034818680126503056,4.371503159461554e-16,0.4772727272727273,True,0
V2R-PS,whole_blood_hb_g_l,3,0.06544621547624109,0.00012945505116919442,3.961351247028233e-10,0.0052895580520078145,0.03156258766301323,0.0038018284680512507,0.5075757575757576,True,0
V2R-PS,scattering_amplitude_multiplier,3,0.06167674310701658,0.0033928908438540656,1.8041124150158794e-16,0.009931399427047322,0.00798008289012668,5.204170427930421e-17,0.48484848484848486,True,0
V2R-PS,delta_bs_shift,2,0.06146623889175999,0.0004400970717122407,1.3877787807814457e-17,0.0029469008648859013,0.012546155944451118,6.591949208711867e-17,0.5227272727272727,True,0
V2R-PS,bandwidth_420_680,1,0.061478291574805596,4.4709569380074754e-11,0.0,1.0545913115000971e-08,4.045333454327782e-08,2.7755575615628914e-17,0.4772727272727273,True,0
V2R-PS,bandwidth_430_670,1,0.05402449430465575,0.0015598848485259137,0.003945707658011343,0.005231921430723388,0.027227949265235446,-0.00902663668016011,0.38636363636363635,True,0
V2R-PS,bandwidth_440_660,1,0.04891672346440862,0.002778992607696748,0.0039500762092475675,0.008943681714111862,0.041051594617349946,-0.012186961525267218,0.36363636363636365,True,0
V2R-PSG,diameter_um,4,0.05881906981538059,0.0002833668092982952,4.163336342344337e-17,0.0014958196548350289,0.009854630739666331,6.245004513516506e-17,0.5284090909090909,True,0
V2R-PSG,s0,3,0.06105057960958381,0.0006233658560944877,4.163336342344337e-17,0.0036574876213086305,0.01945301821023497,8.673617379884035e-17,0.5075757575757576,True,0
V2R-PSG,epidermis_thickness_mm,3,0.06248932303612097,0.004959247212225001,4.163336342344337e-17,0.015181769298640457,0.039396858975066305,1.0061396160665481e-16,0.5378787878787878,True,0
V2R-PSG,whole_blood_hb_g_l,3,0.06263766547833469,0.00010584982385884734,4.163336342344337e-17,0.005272058678890884,0.030102067108746633,0.0035436161392070897,0.553030303030303,True,0
V2R-PSG,scattering_amplitude_multiplier,3,0.058870138434404,0.0037155954687803847,1.3877787807814457e-17,0.01168451482362376,0.01018324063901517,4.85722573273506e-17,0.5378787878787878,True,0
V2R-PSG,delta_bs_shift,2,0.05874162741706001,0.0004914988101917192,0.0,0.003132372085153365,0.013243495237463793,7.632783294297951e-17,0.5795454545454546,True,0
V2R-PSG,bandwidth_420_680,1,0.05881906981538059,3.242373730616421e-11,0.0,3.2686618273158885e-09,1.1157250394411289e-08,2.42861286636753e-17,0.5454545454545454,True,0
V2R-PSG,bandwidth_430_670,1,0.05167038543200746,0.0012044595986660384,0.002608297707855048,0.005183406034480975,0.028190367576980013,-0.009950926942933484,0.4318181818181818,True,0
V2R-PSG,bandwidth_440_660,1,0.04815935537132242,0.002387837508882447,0.0022090781477279373,0.008777047791731926,0.04237364732294822,-0.012080996349594832,0.4090909090909091,True,0
