path,sha256,bytes
configs/so1_synthetic_smoke_v1.yaml,2e03efb338303c3943365869292cf7be8f762ac4015da85640c860889622c9ee,970
outputs/SO1_Synthetic_Generator_v1_smoke/synthetic_manifest.csv,15a45aadf5c896e38cdca2181945332475d8bbebebbdd04576132b637aeb704b,50696
outputs/SO1_Synthetic_Generator_v1_smoke/synthetic_manifest.jsonl,e6b11e62b67b830cd5818610cdaadd417f3fa58b7e8bf63de7f68a85402c09d8,100104
outputs/SO1_Synthetic_Generator_v1_smoke/camera_light_split.json,8625f3b3cd1eaff9bc7875554a52a2fd51d2c7693b3385af555b7ebc3ef7bcda,3566
outputs/SO1_Synthetic_Generator_v1_smoke/camera_ood/linear_rgb.f16.npy,c6daf53466bac563616ee1ca457adf2d1a80f384197ffcb1a38df0eed4c6774e,3145856
outputs/SO1_Synthetic_Generator_v1_smoke/camera_ood/target_mhsp.f16.npy,0258f66eb00a53b1b5359640494ca2e7b128b9aaa9dd1ce9777118714dc9a25d,4194432
outputs/SO1_Synthetic_Generator_v1_smoke/camera_ood/valid_mask.u8.npy,0c06b17a430b1949efc606f7b1d5e445ee446b31a5bc0993ad41a84da2896cd7,524416
outputs/SO1_Synthetic_Generator_v1_smoke/camera_ood/written.u8.npy,5c7bf355675cf7744b25e9578a0b476d68d2d2f6735e8c9dd891f4a9d1badf43,136
outputs/SO1_Synthetic_Generator_v1_smoke/camera_ood/metadata.csv,3958a96ffe068fbe4f06e95aafe7b985b0b034aed842b76ff90aa49af206e2e2,6824
outputs/SO1_Synthetic_Generator_v1_smoke/id_test/linear_rgb.f16.npy,f4fcfff7f0091296f501216617084b23fc66b947841dde1cbe368437d2ef2128,3145856
outputs/SO1_Synthetic_Generator_v1_smoke/id_test/target_mhsp.f16.npy,f88f2fa1ac4dbb21a4b41966ea9ca420155a93a3f90ab8967c6f8a79baba7b6a,4194432
outputs/SO1_Synthetic_Generator_v1_smoke/id_test/valid_mask.u8.npy,910c196ed2c49c2442d8c647ca31d665a03c801330fe0949fba9f9def46a6120,524416
outputs/SO1_Synthetic_Generator_v1_smoke/id_test/written.u8.npy,5c7bf355675cf7744b25e9578a0b476d68d2d2f6735e8c9dd891f4a9d1badf43,136
outputs/SO1_Synthetic_Generator_v1_smoke/id_test/metadata.csv,dfae076a822b36525badc2b599e0de08d35083e400334e37fdc7c7549ddc541c,6793
outputs/SO1_Synthetic_Generator_v1_smoke/joint_ood/linear_rgb.f16.npy,f4dae17d57d133285e0e801936637fb61ba865622c9064eeb97efe0ecde4f907,3145856
outputs/SO1_Synthetic_Generator_v1_smoke/joint_ood/target_mhsp.f16.npy,1c83e7385f940d8d3d45711432398ca6ee62319aa32aeebbca0867222d461f81,4194432
outputs/SO1_Synthetic_Generator_v1_smoke/joint_ood/valid_mask.u8.npy,8f7656ccc5da6180f0cfd58fd23543be677fee4bb95cec8945eb5106916da9d7,524416
outputs/SO1_Synthetic_Generator_v1_smoke/joint_ood/written.u8.npy,5c7bf355675cf7744b25e9578a0b476d68d2d2f6735e8c9dd891f4a9d1badf43,136
outputs/SO1_Synthetic_Generator_v1_smoke/joint_ood/metadata.csv,70be686f4ef13dfc1ec04d90002ed8cf3c37cf77cce82ddd8b132ef29b108778,6937
outputs/SO1_Synthetic_Generator_v1_smoke/light_ood/linear_rgb.f16.npy,0b6aa761d98f7a1011c98954956aea41c64433eeea30ff6c3fb27b774205b432,3145856
outputs/SO1_Synthetic_Generator_v1_smoke/light_ood/target_mhsp.f16.npy,f47970680be61d514a3ba7dd4bdc0e6403933ad99480d9aa4fbe325eb6b05025,4194432
outputs/SO1_Synthetic_Generator_v1_smoke/light_ood/valid_mask.u8.npy,0ded2a9dfc0db6e3813885a01d0d40bb0106aaf566c81ff44a25181089dd6048,524416
outputs/SO1_Synthetic_Generator_v1_smoke/light_ood/written.u8.npy,5c7bf355675cf7744b25e9578a0b476d68d2d2f6735e8c9dd891f4a9d1badf43,136
outputs/SO1_Synthetic_Generator_v1_smoke/light_ood/metadata.csv,4d4e5cbc5867cf6c22068be5c70dc3113f4f2e58f298fb255c9be2e24800e25d,6952
outputs/SO1_Synthetic_Generator_v1_smoke/train/linear_rgb.f16.npy,05a6cf09b9e3ee72338850c6480122d7c99264a6c870207d58ac69567dde719b,9437312
outputs/SO1_Synthetic_Generator_v1_smoke/train/target_mhsp.f16.npy,0cf4c97b9e989bc9b13fdf62538f5e6f921114dab4b2e77dadebe925ffdacad8,12583040
outputs/SO1_Synthetic_Generator_v1_smoke/train/valid_mask.u8.npy,f526c044fe00887521e809b2d4acb34bfc62ce980eb6637de23785a2a8ecc1b5,1572992
outputs/SO1_Synthetic_Generator_v1_smoke/train/written.u8.npy,ad73941f0a7c39b315b0b1850b485fcab8c5e7837a17d27e6c95f2fc9516a0e8,152
outputs/SO1_Synthetic_Generator_v1_smoke/train/metadata.csv,3582c1d7c43da61350d3392ddcfbda2d29f9e2d627d0bc3e2b86572f5b91fc8a,19258
outputs/SO1_Synthetic_Generator_v1_smoke/validation/linear_rgb.f16.npy,657987ade2bf1a502dc1bf628504ff7a42c23c9d4cbe3bb019d45895bb85af54,3145856
outputs/SO1_Synthetic_Generator_v1_smoke/validation/target_mhsp.f16.npy,381e535a21249932eff4a29470fa86a5fdf3c45af3d7d6393c5682bac37be454,4194432
outputs/SO1_Synthetic_Generator_v1_smoke/validation/valid_mask.u8.npy,e16661a1184bef7dc67c4fdf18eed0cfbcbb6f6681f78ea7a911be01d52180b3,524416
outputs/SO1_Synthetic_Generator_v1_smoke/validation/written.u8.npy,5c7bf355675cf7744b25e9578a0b476d68d2d2f6735e8c9dd891f4a9d1badf43,136
outputs/SO1_Synthetic_Generator_v1_smoke/validation/metadata.csv,26de44cc7343f7b0a70fa0402e052034ecde3436725ca0d5773252c76845cdb2,6812
