candidate,subject_id,f_mel,f_blood
V2R-PS,p003,0.11109035057017543,0.08172485777659179
V2R-PS,p004,0.13728408178318546,0.060132276181992766
V2R-PS,p005,0.1462288265377826,0.08754626168393218
V2R-PS,p006,0.172253966656872,0.08429485073901873
V2R-PS,p007,0.23704484215531657,0.04067324717957689
V2R-PS,p008,2.7091909822409298e-33,0.09999999999999999
V2R-PS,p009,0.043782756007888814,0.09999999999999999
V2R-PS,p010,0.12573246565504337,0.09999999999999999
V2R-PS,p011,0.09544454587229445,0.06144602472969716
V2R-PS,p012,0.07789124450775572,0.09733300294114343
V2R-PS,p013,0.08505574010423372,0.09999999999999999
V2R-PS,p014,0.05407215255014037,0.09999999999999999
V2R-PS,p015,0.07951308726360304,0.0999999999999811
V2R-PS,p017,0.14122709349992663,0.040989793582801026
V2R-PS,p018,0.25425405034580695,0.09999999999999999
V2R-PS,p019,0.19740392597941792,0.09999999999999999
V2R-PS,p020,1.9190571082171694e-27,0.09999999999999999
V2R-PS,p021,0.006604049690525779,0.09999999999999999
V2R-PS,p022,5.659841560962822e-26,0.09999999999999956
V2R-PS,p023,0.08721671833447149,0.09999999999999999
V2R-PS,p024,0.13612855814291258,0.09999999999999999
V2R-PS,p025,0.1369869706181647,0.047282798778519416
V2R-PS,p026,0.14643491649867543,0.09999999999999999
V2R-PS,p027,0.1630298778057226,0.06249045644494766
V2R-PS,p028,0.09877040311295111,0.08238376106651074
V2R-PS,p029,0.21593106849122418,0.0536687314444563
V2R-PS,p031,0.1107686782720704,0.0967046934842572
V2R-PS,p032,0.10768754634011664,0.09999999999999999
V2R-PS,p033,0.08580606172369616,0.05775434920577294
V2R-PS,p034,0.08883266410371692,0.059941707813754797
V2R-PS,p037,0.09951604521992377,0.0485457398784281
V2R-PS,p038,0.22823165397669967,0.053344914498120545
V2R-PS,p040,0.10873712243038591,0.09192856078135503
V2R-PS,p041,0.152082731386628,0.038614017488661834
V2R-PS,p042,0.09019769493248564,0.049300717106092885
V2R-PS,p043,0.1156686496281629,0.031101969660083214
V2R-PS,p044,0.1871965624726349,0.09999999999999999
V2R-PS,p045,0.16779809721635067,0.05555521767311329
V2R-PS,p046,0.04013149328582902,0.09999999999999999
V2R-PS,p047,0.05989243553763603,0.09999999999999999
V2R-PS,p048,0.04104959333747133,0.09999999999999999
V2R-PS,p049,0.20552200094681594,0.09999999999999999
V2R-PS,p050,0.06954191698909531,0.09999999999999999
V2R-PS,p051,0.0754687414507314,0.09999999999999999
