detection_confidence,detection_route,failure_code,failure_detail,landmark_count,parser_checkpoint_sha256,sample_id,split,status
0.8793971538543701,detector_expanded_crop,,,478,468e13ca13a9b43cc0881a9f99083a430e9c0a38abd935431d1c28ee94b26567,p003_neutral_front,train,PASS
0.8942646980285645,detector_expanded_crop,,,478,468e13ca13a9b43cc0881a9f99083a430e9c0a38abd935431d1c28ee94b26567,p003_neutral_left,train,PASS
,full_image_facemesh_fallback,,,478,468e13ca13a9b43cc0881a9f99083a430e9c0a38abd935431d1c28ee94b26567,p003_neutral_right,train,PASS
0.8622145056724548,detector_expanded_crop,,,478,468e13ca13a9b43cc0881a9f99083a430e9c0a38abd935431d1c28ee94b26567,p003_smile_front,train,PASS
0.8272529244422913,detector_expanded_crop,,,478,468e13ca13a9b43cc0881a9f99083a430e9c0a38abd935431d1c28ee94b26567,p003_smile_left,train,PASS
0.6796723008155823,detector_expanded_crop,,,478,468e13ca13a9b43cc0881a9f99083a430e9c0a38abd935431d1c28ee94b26567,p003_smile_right,train,PASS
0.8948552012443542,detector_expanded_crop,,,478,468e13ca13a9b43cc0881a9f99083a430e9c0a38abd935431d1c28ee94b26567,p004_neutral_front,train,PASS
0.6795446872711182,detector_expanded_crop,,,478,468e13ca13a9b43cc0881a9f99083a430e9c0a38abd935431d1c28ee94b26567,p004_neutral_left,train,PASS
0.8454790115356445,detector_expanded_crop,,,478,468e13ca13a9b43cc0881a9f99083a430e9c0a38abd935431d1c28ee94b26567,p004_neutral_right,train,PASS
0.8694844841957092,detector_expanded_crop,,,478,468e13ca13a9b43cc0881a9f99083a430e9c0a38abd935431d1c28ee94b26567,p004_smile_front,train,PASS
,full_image_facemesh_fallback,,,478,468e13ca13a9b43cc0881a9f99083a430e9c0a38abd935431d1c28ee94b26567,p004_smile_left,train,PASS
0.8247390985488892,detector_expanded_crop,,,478,468e13ca13a9b43cc0881a9f99083a430e9c0a38abd935431d1c28ee94b26567,p004_smile_right,train,PASS
0.7309610843658447,detector_expanded_crop,,,478,468e13ca13a9b43cc0881a9f99083a430e9c0a38abd935431d1c28ee94b26567,p005_neutral_front,train,PASS
0.7237064838409424,detector_expanded_crop,,,478,468e13ca13a9b43cc0881a9f99083a430e9c0a38abd935431d1c28ee94b26567,p005_neutral_left,train,PASS
0.6641356945037842,detector_expanded_crop,,,478,468e13ca13a9b43cc0881a9f99083a430e9c0a38abd935431d1c28ee94b26567,p005_neutral_right,train,PASS
0.6368414759635925,detector_expanded_crop,,,478,468e13ca13a9b43cc0881a9f99083a430e9c0a38abd935431d1c28ee94b26567,p005_smile_front,train,PASS
0.6530751585960388,detector_expanded_crop,,,478,468e13ca13a9b43cc0881a9f99083a430e9c0a38abd935431d1c28ee94b26567,p005_smile_left,train,PASS
0.8006249070167542,detector_expanded_crop,,,478,468e13ca13a9b43cc0881a9f99083a430e9c0a38abd935431d1c28ee94b26567,p005_smile_right,train,PASS
