subject_id,capture_id,roi,setting,kind,value,success,valid_start_count,f_mel,shift_f_mel,boundary_f_mel,f_blood,shift_f_blood,boundary_f_blood,s,shift_s,boundary_s,logrmse,rmse,sam_deg,hb_absorption_content_scale
p003,p003_neutral_front,left_cheek,epidermis_0.050mm,thickness,0.05,True,33,0.027828611865651616,-0.0008823126005446033,False,0.07562451463277518,0.0025913438101901887,False,0.7387846207376645,-0.06782522925628032,False,0.14577129063037603,0.05115475886389672,6.6502731694768995,
p003,p003_neutral_front,left_cheek,epidermis_0.070mm,thickness,0.07,True,33,0.028962512130964787,0.0002515876647685676,False,0.07174471781367632,-0.0012884530089086743,False,0.8794628165619166,0.0728529665679718,False,0.12810012235622137,0.047639903119332236,6.069843852454257,
p003,p003_neutral_front,left_cheek,scattering_x0.8,scattering,0.8,True,33,0.021428064096276123,-0.007282860369920097,False,0.061346650479052,-0.011686520343532993,False,0.7515225131109119,-0.05508733688303291,False,0.14890627189682704,0.05260136492232062,6.831716420854957,
p003,p003_neutral_front,left_cheek,scattering_x1.2,scattering,1.2,True,33,0.03542966621786193,0.006718741751665709,False,0.08439618446946869,0.01136301364688369,False,0.8737258369124415,0.06711598691849674,False,0.12599902842190178,0.04655703950933637,5.943587690745087,
p003,p003_neutral_front,left_cheek,whole_blood_hb_120gL,hb,120.0,True,33,0.028722490792726027,1.1566326529807713e-05,False,0.09134732819384428,0.018314157371259285,False,0.804624751312295,-0.001985098681649755,False,0.13488146171460644,0.04875260037315819,6.275458527727738,10.961679383261313
p003,p003_neutral_front,left_cheek,whole_blood_hb_180gL,hb,180.0,True,33,0.02870349661020773,-7.427855988489246e-06,False,0.06083495660541053,-0.012198214217174465,False,0.8079252746197206,0.0013154246257758295,False,0.1349816939094072,0.04889339190692301,6.2898184805128965,10.950292188973895
p003,p003_neutral_front,left_cheek,observation_scale_0.95,observation_scale,0.95,True,33,0.03248892091186101,0.0037779964456647885,False,0.07753336148174754,0.004500190659162545,False,0.755082273570114,-0.05152757642383077,False,0.13130826107770904,0.04438734264463545,6.040134362205537,
p003,p003_neutral_front,left_cheek,observation_scale_1.05,observation_scale,1.05,True,33,0.025200605172016544,-0.003510319294179675,False,0.06910670273336834,-0.00392646808921665,False,0.8552253370583277,0.0486154870643829,False,0.13881846898068392,0.05373170816804063,6.549844070762812,
p003,p003_neutral_front,left_cheek,observation_tilt_-0.02,observation_tilt,-0.02,True,33,0.027310799817699377,-0.0014001246484968422,False,0.07643736410427077,0.0034041932816857717,False,0.7643470435205175,-0.042262806473427283,False,0.1340305482058924,0.04785629962311248,6.240616758696716,
p003,p003_neutral_front,left_cheek,observation_tilt_+0.02,observation_tilt,0.02,True,33,0.030078230049975584,0.0013673055837793643,False,0.06998026792618245,-0.0030529028964025456,False,0.8486864319678158,0.042076581973870986,False,0.13614545152791543,0.05015187133795517,6.3582835451625055,
p003,p003_neutral_front,left_cheek,subset_420_680_point,subset_point,0.0,True,33,0.04359032032309975,0.014879395856903531,False,0.036244100425704605,-0.03678907039688039,False,0.8802769484485775,0.0736670984546327,False,0.08543087006991154,0.03604872888477659,4.768537682976659,
p003,p003_neutral_front,left_cheek,subset_420_680_gaussian_5nm,gaussian,5.0,True,33,0.04348270851016255,0.014771784043966334,False,0.03677102598619223,-0.036262144836392764,False,0.8933708593934735,0.08676100939952869,False,0.08413419219898043,0.035401091559941936,4.689187139721269,
p003,p003_neutral_front,left_cheek,subset_420_680_gaussian_10nm,gaussian,10.0,True,33,0.04331505648188993,0.014604132015693709,False,0.03788607131413193,-0.035147099508453065,False,0.918811344298802,0.11220149430485715,False,0.08181488869300255,0.03433049336894719,4.562592106799818,
p003,p003_neutral_front,right_cheek,epidermis_0.050mm,thickness,0.05,True,33,0.05721741937009685,0.0024119096217179586,False,0.09999999999999999,0.0,True,2.1202807418038453e-22,-2.5107700465151584e-21,True,0.21747252596697722,0.061815698004249436,11.674969450945866,
p003,p003_neutral_front,right_cheek,epidermis_0.070mm,thickness,0.07,True,33,0.05282783457917939,-0.0019776751691995,False,0.09999999999999999,0.0,True,1.2959772225124335e-21,-1.4268208981831094e-21,True,0.18414395955494336,0.05284729261566029,10.32094497828227,
p003,p003_neutral_front,right_cheek,scattering_x0.8,scattering,0.8,True,33,0.04102266315117213,-0.013782846597206758,False,0.09999999999999999,0.0,True,1.3210524885157606e-22,-2.590692871843967e-21,True,0.2090125811098081,0.05924463723820313,11.34464781323993,
p003,p003_neutral_front,right_cheek,scattering_x1.2,scattering,1.2,True,33,0.06676675084867642,0.011961241100297532,False,0.09999999999999999,0.0,True,2.197118805054447e-21,-5.256793156410958e-22,True,0.18975115471346085,0.054355342598392045,10.564925728714375,
p003,p003_neutral_front,right_cheek,whole_blood_hb_120gL,hb,120.0,True,33,0.05905995032807235,0.004254440579693458,False,0.09999999999999999,0.0,True,2.1278072163689047e-21,-5.949909043266383e-22,True,0.20879834764759353,0.059340903519978574,11.322979524608751,11.999999999999998
p003,p003_neutral_front,right_cheek,whole_blood_hb_180gL,hb,180.0,True,33,0.05119979628186005,-0.003605713466518841,False,0.09999999999999999,0.0,True,7.403164829607133e-19,7.375936848400178e-19,True,0.18950653135411974,0.05427646384994498,10.557051879869515,18.0
