latent_id,latent_split,latent_index,latent_seed,m_seed,h_seed,mask_seed,m_base,h_base,m_hash,h_hash,mask_hash,valid_skin_fraction,m_mean_valid,m_std_valid,h_mean_valid,h_std_valid,m_min_valid,m_max_valid,h_min_valid,h_max_valid,so0_version,so0_config_hash,camera_light_freeze_hash
L000,train_like_id,0,6999463582781086956,8574914378511122974,13567668937583292708,5681498812621270468,0.0208333333333333,0.8541666666666666,544a1649cce133aa380dc4ddecaaca0a9622c03d5c8e7e4d5f685f68275d5088,a8c9c71424a651b2f83435662e1cc0e8b2c483bedc7fb0517ab6a92b02e38ae9,291ecd0830f41bb96f2c2f1e3d8ce0ce09d24ad51013d336ca0a306e0f2aa6d7,0.59130859375,0.0218425225466489,0.0043414928950369,0.8544881343841553,0.0266204942017793,0.0117217572405934,0.0349742397665977,0.7753167152404785,0.9343750476837158,SO0_Forward_Model_v1.1,3a6642557fafb1a9db80bcbb4f9f1a24cd167873b5a4a1b59b24525763740872,99d4e51442d542aed8522547e6c7ef0d59d7f3429edf7ecee698fc5acf873aee
L001,train_like_id,1,1700194276151507179,1541687264074146605,17636779039452754421,16316835732699618043,0.0625,0.1041666666666666,a4ec1f8bb442864956725d73e9508833cb8f94c4a55c7ae1b5360b6f0f1ec65d,22585ffa3f2ca00abee24d46ec1253216cea6a77a9984e4a5ebd486dc773697f,2871661e6d9fe341f6db0cb069d34777bb62ec818107ede0374e4b91243e5694,0.43548583984375,0.060059867799282,0.0100718541070818,0.1024562492966651,0.0197570379823446,0.0281249992549419,0.086524099111557,0.0468749962747097,0.1531049013137817,SO0_Forward_Model_v1.1,3a6642557fafb1a9db80bcbb4f9f1a24cd167873b5a4a1b59b24525763740872,99d4e51442d542aed8522547e6c7ef0d59d7f3429edf7ecee698fc5acf873aee
L002,train_like_id,2,10974320009435378879,10002212317275657235,11483008073236172511,4407920522553898941,0.1041666666666666,0.1458333333333333,c788747d14c407db13be1ce8ec6ccd22f7b522f123fb2bd2db8f95f7678cf6fd,293e01a37931b99e5577a1ce8f068bfa3048b6fd13191a529d43baa29f45ed0a,41bd055f7c45093f84df7ccfce76b66c715467d3e4bbc3c0f3ba5a526f341c65,0.5013427734375,0.1047496795654296,0.0165628883987665,0.1434267610311508,0.0216543730348348,0.0709153115749359,0.1614583283662796,0.08240407705307,0.1954717338085174,SO0_Forward_Model_v1.1,3a6642557fafb1a9db80bcbb4f9f1a24cd167873b5a4a1b59b24525763740872,99d4e51442d542aed8522547e6c7ef0d59d7f3429edf7ecee698fc5acf873aee
L003,train_like_id,3,8954649856450273700,12976173140889764880,1818303979339229825,12929876179105686172,0.1458333333333333,0.8125,bde90b420eb8638b7eb0cace1e52108ecfa747dc09120536a122239c04a7f2a7,fb2b86315e439458e5d17a19bfa21a50912858564d42052407b49ed624f76374,fe3e8f83a6270098a4ae3c15551e6439c6ca7d966e95fa30d00a83ba8f963482,0.513092041015625,0.1464724689722061,0.018213776871562,0.8157422542572021,0.0250581614673137,0.0953936874866485,0.2013631761074066,0.7130862474441528,0.8718115091323853,SO0_Forward_Model_v1.1,3a6642557fafb1a9db80bcbb4f9f1a24cd167873b5a4a1b59b24525763740872,99d4e51442d542aed8522547e6c7ef0d59d7f3429edf7ecee698fc5acf873aee
L004,train_like_id,4,12589470932198992148,1450075827370786790,10780255935319861889,980203355636321758,0.1875,0.5625,85e6a694fa5a546b80dc0c66bd0866ac6268f533016557775060e32dcc1aa08a,2bc0bf17a74d1c094cda9074540e34230b1606b4bc5a60ad234fac76e873db70,be9918245527e1becdbe5bd999cdace903bacf468612d4f75ff252cf3365007b,0.669677734375,0.1873113065958023,0.0262118857353925,0.5632274150848389,0.0368740372359752,0.0843750014901161,0.2427790462970733,0.4424999952316284,0.6512815356254578,SO0_Forward_Model_v1.1,3a6642557fafb1a9db80bcbb4f9f1a24cd167873b5a4a1b59b24525763740872,99d4e51442d542aed8522547e6c7ef0d59d7f3429edf7ecee698fc5acf873aee
L005,train_like_id,5,13674139106741045413,16880620006768609304,9678937066185321184,1208435287107840992,0.2291666666666666,0.7708333333333334,e5c8496e41572b241b79759ae72e78997d514d97cfdbc2bddb881665c39afb31,83c10977d00529096c23683c21da79404fca28653a4da51b366d168f7dd63d18,7109f716f502a5998670394dbe842b0941f3f08decc7c0d9a0a881f2ce935adb,0.5111846923828125,0.2160321325063705,0.042773850262165,0.7772091627120972,0.04098392277956,0.1091666743159294,0.3362989127635956,0.6508333086967468,0.8905490636825562,SO0_Forward_Model_v1.1,3a6642557fafb1a9db80bcbb4f9f1a24cd167873b5a4a1b59b24525763740872,99d4e51442d542aed8522547e6c7ef0d59d7f3429edf7ecee698fc5acf873aee
L006,train_like_id,6,6677405519312956350,17443261345257253074,13521813167334019166,921828601490124305,0.2708333333333333,0.0208333333333333,28ded819ddae219e69b1fa7c0e6348d05ca2c4bf590ca338048bfa14a45edb51,469e7bcf3620341e7bb09e358ddfbb0966468bcb43a97bcfbad58589764b09da,f9e5dcfc8872c440c5f931017dd1b1b299ea2243af1174e08e204e154962ac5f,0.4347076416015625,0.2677507102489471,0.0426828302443027,0.0210735369473695,0.0037869098596274,0.1606996655464172,0.3774820268154144,0.0058333342894911,0.0299035981297492,SO0_Forward_Model_v1.1,3a6642557fafb1a9db80bcbb4f9f1a24cd167873b5a4a1b59b24525763740872,99d4e51442d542aed8522547e6c7ef0d59d7f3429edf7ecee698fc5acf873aee
L007,train_like_id,7,10388261329552009730,8577381948661554353,13517018912955919203,2746198429919864864,0.3125,0.9375,922844472ffe238bec747da5ea027645723d3a3e7911fcd95f4e06b4a3b50b3d,c35681179380b7165ec87039632fcfad63519dd1c64c8ec0c6f18d9e9f31b0da,139b8ca9aa673bf85bb125f23aeac4adce306ad8fd9fde740be4594088a0e0af,0.4600677490234375,0.3034640550613403,0.0425619147717952,0.9351980686187744,0.0101418821141123,0.1996480077505111,0.4313153624534607,0.903124988079071,0.9629274010658264,SO0_Forward_Model_v1.1,3a6642557fafb1a9db80bcbb4f9f1a24cd167873b5a4a1b59b24525763740872,99d4e51442d542aed8522547e6c7ef0d59d7f3429edf7ecee698fc5acf873aee
L008,train_like_id,8,1883373512407813175,1262920711309774794,2523637148641274302,15766046768833922536,0.3541666666666667,0.5208333333333334,6c71cea423071ca7f299cabc25d1f68da3db3c3cc736f821f1a8ded52303e126,7f6686dc8b6fc12aa3cff2d4849df0cb91ce1da3ca3ebc530fcf189687f33da0,61d02b360de6a1cdfe035b109eab5238193d55840cc30492deebe046eb30a848,0.5909576416015625,0.3461537957191467,0.0385894663631916,0.5206376910209656,0.0469962321221828,0.2341666519641876,0.4418793320655823,0.4035941362380981,0.64083331823349,SO0_Forward_Model_v1.1,3a6642557fafb1a9db80bcbb4f9f1a24cd167873b5a4a1b59b24525763740872,99d4e51442d542aed8522547e6c7ef0d59d7f3429edf7ecee698fc5acf873aee
L009,train_like_id,9,14700318654422175005,17255406514111368596,7305624341874072274,6084856394988125604,0.3958333333333333,0.4791666666666667,d824be56811d7c441ceebe294b8b840d1c39eac68a1f5e372defe0d6709325af,159d8a4ae707e105f8ead00866c7d954c1eca10ac96709553814710e3dd8ee02,f5e6242a05ea109aff001d26bba6d12ceaddb194a8d0a57656c693edfb9d9420,0.576080322265625,0.3992896378040313,0.0314480923116207,0.4788171648979187,0.0408990308642387,0.3205039501190185,0.4835928678512573,0.3591666519641876,0.5803472995758057,SO0_Forward_Model_v1.1,3a6642557fafb1a9db80bcbb4f9f1a24cd167873b5a4a1b59b24525763740872,99d4e51442d542aed8522547e6c7ef0d59d7f3429edf7ecee698fc5acf873aee
