sample_id,subject_id,roi,pixel_count,nonfinite_pixel_band_values,nonpositive_pixel_band_values,below_zero_pixel_band_values,above_one_pixel_band_values,raw_pixel_band_min,raw_pixel_band_max,raw_region_median_min,raw_region_median_max,max_abs_raw_float64_vs_historical_cache,max_abs_raw_vs_clipped_region_median,cache_within_tolerance,clipping_does_not_change_region_median
p003_neutral_front,p003,left_cheek,11887,0,0,0,0,0.12354916930985382,0.9571055221206279,0.24281055730568823,0.7257395459228348,2.285446498717647e-08,0.0,True,True
p003_neutral_front,p003,right_cheek,10663,0,0,0,0,0.11770983831956983,0.6580894141608127,0.19217528808733775,0.4650473627209548,1.3990245406603208e-08,0.0,True,True
p004_neutral_front,p004,left_cheek,9630,0,0,0,0,0.02477996540693539,0.8147350658462642,0.21301930475749487,0.6309732374197381,2.5371946321683936e-08,0.0,True,True
p004_neutral_front,p004,right_cheek,10452,0,0,0,0,0.028291742042483747,0.6260162591934204,0.1790202093007025,0.41022236124623035,2.6453108148416504e-08,0.0,True,True
p005_neutral_front,p005,left_cheek,10122,0,0,0,0,0.07799071072889774,0.7602245064187514,0.18992705562781964,0.5855215000013345,2.8491399461927358e-08,0.0,True,True
p005_neutral_front,p005,right_cheek,9312,0,0,0,0,0.07133737266113371,0.6569715960054054,0.15557337326697507,0.39024388790130615,1.3603624893221422e-08,0.0,True,True
p006_neutral_front,p006,left_cheek,10448,0,0,0,0,0.08039773528342842,0.8138616712245721,0.1925453248361304,0.5990791608619048,2.878182669974194e-08,0.0,True,True
p006_neutral_front,p006,right_cheek,9368,0,0,0,0,0.08057283338224863,0.6279500758574379,0.15471091844784723,0.39024388790130615,1.1881041928063496e-08,0.0,True,True
p007_neutral_front,p007,left_cheek,11276,0,0,0,0,0.10506950047852115,0.8158316440878934,0.18573874909958477,0.5736406216889662,3.674328752367728e-08,0.0,True,True
p007_neutral_front,p007,right_cheek,10845,0,0,0,0,0.07098227324783579,0.6097561120986938,0.13537754099327515,0.39024388790130615,1.1515794540173374e-08,0.0,True,True
p008_neutral_front,p008,left_cheek,11066,0,0,0,0,0.07179360992822126,0.8307692408561707,0.23623349532869042,0.44715446264859793,1.4901161193847656e-08,0.0,True,True
p008_neutral_front,p008,right_cheek,9381,0,0,0,0,0.04615384712815285,0.8461538553237915,0.21126740226132767,0.446153849363327,1.4160832506604493e-08,0.0,True,True
p009_neutral_front,p009,left_cheek,9552,0,0,0,0,0.043511450281613406,0.9646870888220747,0.17818711088546024,0.430105528692593,1.9128137296320347e-08,0.0,True,True
p009_neutral_front,p009,right_cheek,9766,0,0,0,0,0.030503135290928185,0.6696428656578064,0.13144594817731559,0.4017857015132904,7.450580596923828e-09,0.0,True,True
p010_neutral_front,p010,left_cheek,12947,0,0,0,0,0.07862595470817269,0.8274386375811673,0.22743336670475855,0.6867168052754096,1.9234292381042906e-08,0.0,True,True
p010_neutral_front,p010,right_cheek,12611,0,0,0,0,0.044274810669165277,0.7232142686843872,0.17908895285049198,0.4464285671710968,1.135441607402754e-08,0.0,True,True
p011_neutral_front,p011,left_cheek,11564,0,0,0,0,0.12695433896897157,1.0,0.2950384376896338,0.7377834181316985,2.707365354126523e-08,0.0,True,True
p011_neutral_front,p011,right_cheek,14615,0,0,0,0,0.06866914140773872,0.7702264895755775,0.2739144247644276,0.6602953909014104,2.9553461899922695e-08,0.0,True,True
p012_neutral_front,p012,left_cheek,13301,0,0,0,0,0.10666870891878943,1.0,0.25477691047396434,0.6905037239181411,2.6947873266180977e-08,0.0,True,True
p012_neutral_front,p012,right_cheek,14208,0,0,0,0,0.09160305552080672,0.7321428656578064,0.20017030202285468,0.4464285671710968,1.8084564956666327e-08,0.0,True,True
p013_neutral_front,p013,left_cheek,15065,0,0,0,0,0.1343511492076459,1.0,0.24305683008356027,0.6797280319641459,2.926007880432735e-08,0.0,True,True
p013_neutral_front,p013,right_cheek,14556,0,0,0,0,0.08975735022852405,0.7488595861821068,0.18293405249583117,0.4464285671710968,2.1174017206249118e-08,0.0,True,True
p014_neutral_front,p014,left_cheek,12424,0,0,0,0,0.02565670081841631,0.7061837027365527,0.1901603924862627,0.5026365975074896,1.8561564729679958e-08,0.0,True,True
p014_neutral_front,p014,right_cheek,12555,0,0,0,0,0.05401851407744118,0.6785714030265808,0.11566558525741044,0.4196428656578064,1.3627101225210936e-08,0.0,True,True
p015_neutral_front,p015,left_cheek,14409,0,0,0,0,0.08778625716871602,0.8927595308744003,0.2508735294226767,0.665631852942056,2.7870100893778726e-08,0.0,True,True
p015_neutral_front,p015,right_cheek,13567,0,0,0,0,0.04198473272407455,0.7053571343421936,0.19800875640602555,0.4553571343421936,1.434563046132098e-08,0.0,True,True
p017_neutral_front,p017,left_cheek,9441,0,0,0,0,0.11163345880038378,0.8899529322856097,0.23760602938847342,0.7170437162858434,2.7577470973483287e-08,0.0,True,True
p017_neutral_front,p017,right_cheek,9918,0,0,0,0,0.07622560322916172,0.739686140301842,0.22273637085769593,0.5770835220857862,2.4334923409696785e-08,0.0,True,True
p018_neutral_front,p018,left_cheek,13403,0,0,0,0,0.10062690740701896,0.7147378587534376,0.17777321983857064,0.4634146386845259,1.4046761975805566e-08,0.0,True,True
p018_neutral_front,p018,right_cheek,13527,0,0,0,0,0.06551369884982705,0.6607142686843872,0.13490931146958474,0.4196428656578064,1.430908014299348e-08,0.0,True,True
p019_neutral_front,p019,left_cheek,11101,0,0,0,1,0.06106870243209528,1.000000000222684,0.20281520908040562,0.5573530940639557,1.4744955478818156e-08,0.0,True,True
p019_neutral_front,p019,right_cheek,12313,0,0,0,0,0.07461369832699916,0.6875,0.1656974632419974,0.4285714328289032,1.4006218407303095e-08,0.0,True,True
